시각,카테고리,미디어,제목,내용,url,수정시간,감정표현,timestamp
2019.01.01. 오후 11:57,사회,오마이뉴스,사회서비스 공공성 강화할 대구사회서비스원 설립,오는 15일까지 대표 등 임원 모집 절차 들어가 1월 중 설립하고 대구시립희망원 등 운영 예정 오마이뉴스 조정훈 기자 대구시청 입구. ⓒ 조정훈 대구시가 지난해 12월 31일 대구사회서비스원 설립 및 운영에 관한 조례 를 공포하고 사회서비스원을 이끌어갈 대표와 이사 감사 등 임원을 공모하는 등 본격적인 출범 준비에 들어갔다. 대구시가 설립하는 사회서비스원은 사회서비스의 공공성을 강화하고 관련 분야 종사자 처우개선 및 양질의 일자리 창출을 위한 국정과제이자 민선 7기 공약으로 추진하고 있는 사업이다. 대구시는 사회서비스원 설립을 위해 이미 지난해 6월부터 설립 타당성 연구용역을 시행한데 이어 9월에는 공청회를 열고 시민들의 의견을 수렴했다. 또 11월에는 행정안전부의 지방자치단체 출연기관 설립에 관한 협의도 마쳤다. 사회서비스원이 설립되면 국·공립 사회복지시설과 종합재가센터를 운영하고 대구형 복지정책의 연구·개발 민간 복지·서비스 지원 시설의 컨설팅 등 사회서비스의 공공성 강화와 투명성 제고 전문성 등을 실현시켜 나갈 계획이다. 우선 사회서비스원이 출범하면 대구시립희망원 등 국공립 복지시설을 운영할 예정이다. 이를 위해 대구시는 오는 15일까지 사회서비스원을 이끌어갈 대표 사회서비스원장 와 이사 13명 이내 비상근 감사 공인회계사 비상근 1명 등을 모집한다. 공모가 끝나면 임원추천위원회 심의를 거쳐 1월중 임원 선임을 완료한 뒤 창립총회를 개최하고 2월에는 보건복지부 설립허가를 받아 직원을 채용한 뒤 3월 정식 출범하게 된다. 백윤자 대구시 보건복지국장은 우수한 인재들이 많이 응모하여 대구사회서비스원이 대구 복지의 새로운 지평을 열었으면 한다 며 전국에서 가장 모범사례가 될 것으로 기대한다 고 말했다. 한편 신청은 대구시 홈페이지 고시공고 게시판에서 공고문을 내려 받아 대구시 복지정책관실 053 803 6931 3 로 방문해 접수하거나 등기우편 또는 전자메일 dryice04 korea.kr 로 접수하면 된다.,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=047&aid=0002213385,,"[0, 0, 0, 0, 0]",1612227804
2019.01.01. 오후 11:56,사회,파이낸셜뉴스,안산상의 지역인재 장학금 800만원 전달,안산상의경영인협의회 장학금 전달. 사진제공 안산상공회의소 안산 강근주 기자 안산상공회의소 산하 안산상의경영인협의회는 구랍 12월28일 2018년 송년회를 개최한 가운데 안산지역 고등학생 10명에게 800만원의 장학금을 전달했다. 김태한 안산상의경영인협의회장은 전달식에 앞서 “안산에서 사업을 영위하는 경영인으로서 지역사회에 조금이나마 기여하고자 하는 회원이 십시일반으로 장학금을 기부해 장학금을 마련했다”며 “대한민국의 미래를 책임질 청소년에게 조금이나마 보탬이 되고 희망을 줄 수 있는 계기가 되었으면 좋겠다”고 말했다. 김진근 안산상공회의소 사무처장은 격려사를 통해 “한 해를 마무리하며 의미 있는 행사를 준비한 김태한 회장과 회원 여러분의 따뜻한 정성에 깊은 경의를 표하며 장학생 모두가 대한민국과 안산시 발전에 든든한 인재가 되리라 믿는다”고 말했다. 안산상의경영인협의회는 안산상공회의소 회원사 대표들의 이업종 교류 경영혁신 공유 친목 도모를 목적으로 2015년 출범했으며 현재 44명의 회원이 활동하고 있다.,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=014&aid=0004153266,,"[0, 0, 0, 0, 0]",1612227804
2019.01.01. 오후 11:52,정치,뉴시스,강경화 비핵화 진전 이뤄지면 종전선언도 이뤄지지 않을까 ,서울 뉴시스 박미소 수습기자 14일 오전 서울 종로구 외교부에서 열린 재외공관장회의 특별강연 에서 강경화 외교부장관이 인사말을 하고 있다. 2018.12.14. misocamera newsis.com 서울 뉴시스 김지훈 김성진 기자 강경화 외교부 장관은 1일 2차 북미 정상회담이 이뤄지고 비핵화와 관련해서도 진전이 이뤄지면 종전선언도 이루어지지 않을까 생각한다 고 밝혔다. 강 장관은 이날 오후 KBS 신년기획 한반도의 미래를 묻다 에 출연해 북한은 종전선언을 통해서 이루고자 하는 게 무엇인지에 대해 미국과 상당히 교감을 이뤘다고 생각한다 며 이같이 밝혔다. 강 장관은 이어 구체적 시기는 빠르면 빠를수록 조속히 이뤄졌으면 하는 바람 이라며 종전선언으로 비핵화도 견인하고 평화체제로 나가는 첫 관문인 종전선언을 함으로써 한반도 평화프로세스 기반 를 다지는 계기가 될 것 이라고 밝혔다. 강 장관은 또한 종전선언이 의미에 대해 평화체제로 들어가는 첫 입구 라며 북한이 종전선언을 이야기하지 않는다고 해서 관심이 없다라고 평가할 건 아니라고 생각한다 고 진단했다. 강 장관은 그러면서 김 위원장이 신년사에서 정전체제를 평화체제로 만들어나가고 거기에다가 다자 협상 의지가 있다고 말했다 며 그 과정에서 종전선언이 한 부분이 될 필요가 있고 그런 전체적 맥락으로 봤을 때 여전히 북미 간에 남북 간에 남북미 간에 하나의 계기를 만드는 조치가 될 것 이라고 강조했다.,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=003&aid=0008989557,,"[0, 0, 0, 69, 0]",1612227643
2019.01.01. 오후 11:49,정치,이데일리,강경화 외교장관 “美 北 비핵화 위해 종전선언 카드 사용 가능”,종전선언은 평화체제 첫 관문…남북미간 계기 될 수 있어 북미정상회담 위한 접촉 진행…北 신년사서 강한 비핵화 의지 이데일리 장영은 기자 강경화 사진 외교부 장관은 1일 “미국으로서는 북한의 비핵화를 이끌어 내겠다는 강한 의지가 있고 비핵화를 이끌어내는데 여러 요소들을 쓰겠다고 하고 있다. 종전 선언도 그렇게 쓰겠다는 것”이라고 밝혔다. 사진 외교부 강경화 장관은 이날 KBS 신년기획 ‘한반도의 미래를 묻다’ 프로그램에 출연해 “북미 2차 정상회담이 이뤄지고 그런 과정에서 비핵화에 대해서도 진전이 이뤄지면 종전 선언이 이뤄질 것이다. 구체적인 시기는 빠르면 빠를수록 좋고 조속히 이뤄졌으면 한다”며 이같이 말했다. 강 장관은 종전선언이 현 정전 체제를 평화체제로 만들어 가는 ‘첫 관문’이 될 것이라면서 “ 종전 선언이 북미간 남북간 남북미간에 하나의 계기를 만드는 조치가 될 수 있다고 생각한다”고 덧붙였다. 그는 현재 북미간 비핵화 협상이 교착국면인 것으로 보느냐는 질문에는 “ 북미간에 움직임이 없는 시기가 몇달씩 이어지는 시기가 과거에도 있었다”며 크게 우려할 만한 상황은 아니라고 답했다. 강 장관은 “양측의 준비가 있어야 할 것으로 생각하지만 김정은 위원장이 신년사에서 완전한 비핵화에 대한 의지를 다시 한번 밝혔다”며 “이를 통해서 북미 정상회담과 김 위원장 답방이 이뤄진다면 그 과정에서 비핵화 관련 실질적 진전이 있을 것”이라고 예상했다. 이어 “미국측에서도 북한 비핵화를 견인하겠다는 의지가 강하다. 비핵화에 대한 상응조치도 여러가지를 준비하고 있는 것으로 알고 있다”면서 “2차 북미회담을 위한 준비 차원의 접촉·소통은 이뤄지고 있는 것으로 안다”고 덧붙였다. 북미간 공식적인 협상은 드러나지 않지만 물밑 접촉을 통한 정상회담 일정 협의와 의견 타진 등은 이뤄지고 있다는 의미다. 강 장관은 김정은 북한 국무위원장의 신년사에 대해 “완전한 비핵화와 한반도의 항구적 평화에 대한 확고한 의지를 재확인했다는 점에서 매우 긍정적”이라고 평가했다. 특히 “김 위원장 발언 가운데 특이한 것은 ‘핵무기를 더 이상 만들지 않겠다’고 한 것으로 처음 직접 김 위원장의 목소리로 나왔다”며 “이것은 완전한 비핵화에 대한 의지를 좀 더 전향적 적극적으로 나타낸 것”이라고 강조했다. 그는 또 북미간 협상을 촉진하기 위해 새로운 협상 전략이 필요한 것이 아니냐는 취지의 질문에는 ‘포괄적 합의와 단계적 이행’이라는 입장을 밝혔다. 강 장관은 “어떤 비핵화 조치에 어떤 상응조치가 등가냐 이런 논의는 북미가 협상테이블에 앉아야 나올 것 같다”며 “ 북미간에 이견도 크고 과거 불신의 역사도 깊다. 모든 사안들을 테이블에 올려놓고 단계적으로 이행해 나가는 방안이 필요하다 ”고 설명했다. 그는 북한의 비핵화 협상 전략을 만들어 나가는 과정에서 한미가 긴밀히 논의하고 있다며 “ 올해는 우리의 촉진자로서의 역할이 기대되는 한 해”라고 덧붙였다.,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=018&aid=0004283446,2019.01.01. 오후 11:59,"[3, 0, 0, 38, 0]",1612227643
2019.01.01. 오후 11:40,정치,연합뉴스,조명균 남북간 정리할 일 있어…고위급회담 개최여부 검토,조명균 통일부 장관 연합뉴스 자료사진 서울 연합뉴스 이상현 기자 조명균 통일부 장관은 1일 남북 고위급회담 개최 가능성에 대해 종합적으로 관련 사안을 검토해서 고위급회담 개최 여부를 검토해나갈 생각 이라고 말했다. 조 장관은 이날 밤 KBS 신년기획 한반도의 미래를 묻다 프로그램에 출연한 자리에서 관련 질문을 받고 김정은 위원장이 신년사를 통해 여러 남북 간 풀 일들을 제기했는데 이미 남북 간의 평양 공동선언 판문점 공동선언 이행 과정에서 한번 쯤은 고위급회담을 통해 정리할 문제가 있다 며 이같이 답했다. 앞서 지난해에도 김정은 위원장이 2018년 신년사에서 남북관계 개선 제안을 내놓은 뒤 남북이 1월9일 고위급 회담을 개최해 북한의 평창동계올림픽 참가 등 사항을 논의한 바 있다.,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=001&aid=0010556764,2019.01.02. 오전 5:57,"[6, 1, 0, 76, 0]",1612227644
2019.01.01. 오후 11:38,정치,이데일리,정경두 국방장관 종전선언해도 군대가야…모병제 전환 시기상조,이데일리 김관용 기자 정경두 국방부 장관은 1일 최근 남북 관계에 훈풍이 불고 있지만 아직 모병제는 시기 상조라고 밝혔다. 정 장관은 이날 저녁 강경화 외교부 장관·통일부 장관과 함께 출연한 KBS ‘신년기획 한반도의 미래를 묻다’ 생방송에서 ‘종전선언 이후에는 군대를 가지 않아도 된다는 얘기도 있고 징병제에서 모병제로 전환할 적기라는 얘기들이 있다’는 시민패널의 질문에 이같이 말했다. 정 관은 “모병제 전환은 군사적 측면 뿐 아니라 국가와 사회 전체적으로 봐야 할 문제고 국민적 공감대도 필요하다”면서 “모병제로 전환할 경우 병력구조는 어느 정도가 적당한지 소요 예산을 다 감당할 수 있는지 등 복합적이고 종합적인 검토가 필요하다”고 했다. 그러면서 “모병제는 아직 시기상조”라며 “과거 독일이 1990년 통일이 됐지만 실제 모병제로 전환한 것은 20년이 지난 2011년 부터다. 대만도 2007년 모병제로 전환한다고 발표하고 2013년 추진했지만 실제 모병이 되지 않아 3번 정도 연기하다 2018년부터 모병제로 전환했다”고 설명했다. 이어 정 장관은 “모병제 전환을 위해선 국가사회 전체적인 관점에서 봐라봐야 하고 준비하는데 시간이 많이 걸린다”면서 “ 모병제 전환 논의가 성숙될 수 있도록 한반도에 평화가 정착되길 국방장관으로서 희망한다”고 말했다.,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=018&aid=0004283445,,"[26, 0, 0, 42, 0]",1612227644
2019.01.01. 오후 11:36,정치,연합뉴스,정경두 국방 전작권 전환해도 미군철수·연합사해체 없다,모병제 전환은 시기상조…국민 모두의 공감대 형성돼야 회의장 들어서는 정경두 국방장관 서울 연합뉴스 서명곤 기자 정경두 국방부 장관이 27일 오전 서울 세종로 정부서울청사에서 열린 국정현안점검조정회의에서 회의장으로 들어서고 있다. 2018.12.27 seephoto yna.co.kr 끝 서울 연합뉴스 이상현 기자 정경두 국방부 장관은 1일 전시작전통제권 전작권 전환 이후 주한미군 철수 및 한미연합군사령부 해체 우려에 대해 전작권 전환이 되더라도 미군 철수와 연합사 해체는 없다 고 말했다. 정 장관은 이날 밤 KBS 신년기획 한반도의 미래를 묻다 프로그램에 출연한 자리에서 시민 패널의 질문을 받고 이같이 답했다. 정 장관은 그러면서 2022년까지 전작권 환수가 이뤄질 가능성에 대해서도 시기를 못 박은 것도 없다 고 답했다. 그는 그러면서 현재 전작권 전환 업무가 벌써 10여년간 진행되어 온 사안이라면서 지금은 보다 구체적으로 이행할 시기가 됐다고 보시면 된다 고 부연했다. 정 장관은 종전선언을 하면 군대를 가지 않아도 되느냐 징병제에서 모병제로 전환할 적기가 아니냐 는 등 방청객 질문에 모병제 전환시 병력 구조를 어느 수준으로 가져가야 할지 고민해야 하고 소요되는 예산을 다 감당할 수 있을지 종합적으로 검토해야할 부분이 많이 있다 며 시기상조 라고 답했다. 정 장관은 모병제로의 전환은 군사적 관점 뿐 아니라 국가·사회 전체적 관점에서 봐야한다 며 우리 국민 모든 분들의 공감대가 형성되어야 할 부분 이라고 첨언했다.,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=001&aid=0010556763,,"[10, 0, 0, 46, 1]",1612227644
2019.01.01. 오후 11:36,정치,연합뉴스,北 대남 대화·협력 기조 확인…남북관계 도약할까종합,개성공단·금강산 관광 관련 전향적 조치 가능성 주목 남북대화 과정서 남측 속도에 불만 나타낼 우려도 이례적으로 소파에 앉아 신년사 발표하는 김정은 국무위원장 서울 연합뉴스 조선중앙TV는 1일 오전 김정은 북한 국무위원장의 신년사 발표를 보도했다. 김정은 위원장은 예전과 달리 올해는 소파에 앉아 신년사를 발표했다. 2019.1.1 국내에서만 사용가능. 재배포 금지. For Use Only in the Republic of Korea. No Redistribution nkphoto yna.co.kr 서울 연합뉴스 이봉석 기자 북한 김정은 국무위원장이 1일 신년사에서 남북간 대화와 협력 기조를 유지하겠다는 입장을 밝히면서 새해 남북관계는 새로운 도약을 모색할 것으로 보인다. 김 위원장은 신년사에서 지난해 세 차례의 남북정상회담이 열린 사실을 거론하며 이것은 북남관계가 완전히 새로운 단계에 들어섰다는 것을 뚜렷이 보여줬다 고 평가하고 그간 남북관계 성과에 대해 대단히 만족한다 고 말했다. 그러면서 새해 2019년에 북남관계 발전과 평화번영 조국통일을 위한 투쟁에서 더 큰 전진을 이룩하여야 한다 고 강조했다. 풀영상 북한 김정은 위원장 신년사 발표… 조선반도에 평화기류 연합뉴스 Yonhapnews 김 위원장은 사실상 대내용인 신년사 1만2천여자 가운데 20%에 가까운 약 2천200자를 대남메시지로 채웠다. 남한 정부의 중재자 로서 역할을 확인하는 한편 김 위원장이 지난달 30일 문재인 대통령에게 전달한 세밑 친서 의 연장 선상에서 지난 1년간 취해온 남북관계 기조의 유지 의사를 드러낸 것이다. 김 위원장은 대북제재로 국제사회에서 고립이 여전하고 북미대화도 지체되고 있는 가운데서도 남북관계의 선순환을 비핵화 협상의 동력으로 삼겠다는 현 전략이 유효하다고 판단한 것으로 보인다. 북한은 올해 4.27 판문점 선언과 9월 평양공동선언 남북군사분야합의서 이행을 남한에 한층 더 강하게 촉구할 것으로 보인다. 정부도 남북 합의의 안정적인 이행 여건을 조성하고 지속 가능한 남북관계를 정립하겠다는 게 기본 목표다. 이에 따라 올해 남북의 3.1운동 100주년 기념행사 공동 개최 2032년 하계올림픽 남북공동개최 남북 철도·도로 연결 및 현대화 등 남북간 교류·협력 사업에 한층 탄력이 붙을 것으로 예상된다. 김 위원장이 신년사에서는 언급하지 않았지만 최근 친서의 기조를 이어갔다는 점에서 서울 답방도 조만간 추진할 것으로 점쳐진다. 김의겸 청와대 대변인은 김 위원장이 친서에서 올해 서울 방문을 고대했으나 이뤄지지 못한 걸 못내 아쉬워했다. 앞으로 상황을 주시하면서 서울을 방문하겠다는 강한 의지를 나타냈다 고 밝힌 바 있다. 무엇보다 지난해 신년사에서 평창 동계올림픽 참가라는 깜짝 카드를 던졌던 김 위원장이 올해에는 아무런 전제조건이나 대가 없이 개성공단과 금강산관광을 재개할 용의가 있다며 대남 평화 공세의 수위를 올린 점이 눈길을 끈다. 북측이 사업 중단 후 취한 개성공단과 금강산지구 내 남측 자산 몰수조치에 대해 전향적인 입장을 내놓을 수 있다는 기대를 품게 하는 대목이다. 조성렬 국가안보전략연구원 수석연구위원은 개성공단과 금강산 관광과 관련해 남쪽이 요구했던 부분들을 전향적으로 하겠다는 것 즉 자신들이 할 수 있는 건 다 열어놓겠다는 의미 라고 분석했다. 다만 북한이 대화 과정에서 남한 정부의 남북 협력 사업 속도에 불만을 드러내며 관영매체를 통한 대남 비난전을 한층 강화할 우려도 제기된다. 김 위원장이 북과 남이 굳게 손잡고 겨레의 단합된 힘에 의거한다면 외부의 온갖 제재와 압박도 그 어떤 도전과 시련도 민족번영의 활로를 열어나가려는 우리의 앞길을 가로막을 수 없을 것 이라고 말한 언급에는 미국의 눈치를 보지 말라는 대남메시지가 들어있는 것으로 분석된다. 김 위원장은 이어 북남관계를 저들의 구미와 이익에 복종시키려 하면서 우리 민족의 화해와 단합 통일의 앞길을 가로막는 외부세력의 간섭과 개입을 절대로 허용하지 않을 것 이라며 외세의 간섭 없이 민족 문제를 자주적으로 해결하자는 북한의 대남 구호인 우리민족끼리 정신 을 강조했다. 김 위원장이 한미연합군사훈련 중단과 미국 전략자산의 한반도 전개 중지를 요구한 점이 남북관계의 불씨가 될 개연성도 있다. 양무진 북한대학원대학교 교수는 김정은 위원장의 신년사에는 한국이 미국을 잘 설득해달라는 주문도 들어있다 고 말했다. 정부는 고위급회담 개최 여부 등 김 위원장의 신년사에 따른 후속 조치를 검토해 나갈 방침이다. 조명균 통일부 장관은 이날 밤 KBS에 출연한 자리에서 이미 남북간에는 9월 평양선언이나 판문점 선언을 이행하는 과정에서 한 번쯤 고위급회담을 통해 정리할 문제도 있다 며 종합적으로 검토해서 고위급회담 개최 여부도 검토해 나갈 생각 이라고 말했다.,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=001&aid=0010556762,2019.01.02. 오전 5:57,"[0, 0, 0, 2, 0]",1612227645
2019.01.01. 오후 11:35,정치,머니투데이,조명균 비핵화 후 가장 먼저 금강산·개성공단 재개해야,머니투데이 권다희 기자 the300 北과 논의한다면 제개 전제로 제재 내서 할 수 있는 것 모색 조명균 통일부 장관 사진 KBS 사이트 캡쳐 조명균 통일부 장관이 비핵화가 풀리면 가장 먼저 재개해야 할 게 금강산 관광과 개성공단 재개 라며 앞으로 재개를 전제로 제재범위 내에서 할 수 있는 걸 북측과 모색할 것 이라고 1일 밝혔다. 조 장관은 이날 KBS 한반도의 미래를 묻다 프로그램에 출연해 김정은 북한 국무위원장이 신년사에서 개성공단 금강산 관광의 조건 없는 재개를 언급한 것과 관련해 이 같이 밝혔다. 조 장관은 금강산의 경우 중단된 게 북핵 문제와 무관하게 우리 관광객이 불의의 사고를 당하며 중단됐지만 그 이후 북에 대한 대북제재가 여러 차원에서 진행되며 상당부분 금강산 관광과 관련된 부분이 제재와 연관됐다 고 설명했다. 또 현재 상황은 금강산과 개성공단이 대북제재와 무관하다고 보긴 어렵다 며 9월 평양공동선언에서도 여건이 조성됨에 따라 금강산과 개성 재개하자고 그런 문구가 나왔다 고 부연했다. 그러면서 우리로선 앞으로 비핵화가 풀리면 가장 먼저 재개해야 할 게 금강산과 개성 이라며 앞으로 북과 협상테이블에서 논의하면 여건 조성에 대한 것을 얘기하고 재개를 전제로 제재범위 내 할 수 있는 걸 모색하면 어떨까 생각한다 고 밝혔다. 한편 김 위원장은 이날 오전 육성으로 발표한 신년사에서 아무런 전제조건이나 대가없이 개성공업지구와 금강산관광을 재개할 용의가 있다 고 밝혔다.,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=008&aid=0004154256,,"[6, 0, 0, 57, 0]",1612227645
2019.01.01. 오후 11:35,정치,연합뉴스,조건없는 금강산·개성공단 재개 가능할까…제재가 걸림돌종합,김정은 전제조건·대가 없이 재개용의 … 제재완화 우회 요구한듯 조명균 北과 논의시 제재범위내 할수 있는 일 같이 모색 고요한 개성공단 연합뉴스 자료사진 서울 연합뉴스 김효정 기자 김정은 북한 국무위원장이 1일 신년사에서 전제조건이나 대가 없이 개성공단과 금강산관광을 재개할 용의가 있다고 언급해 남북 경제협력의 대표격 인 두 사업에 앞으로 미칠 영향이 주목된다. 김 위원장은 이날 조선중앙TV로 방영된 육성 신년사에서 개성공업지구에 진출하였던 남측 기업인들의 어려운 사정과 민족의 명산을 찾아보고 싶어 하는 남녘 동포들의 소망을 헤아려 아무런 전제조건이나 대가 없이 개성공업지구와 금강산관광을 재개할 용의가 있다 고 말했다. 풀영상 북한 김정은 위원장 신년사 발표… 조선반도에 평화기류 연합뉴스 Yonhapnews 김 위원장은 지난해 9월 문재인 대통령과의 평양 공동선언에서 조건이 마련되는 데 따라 개성공단과 금강산관광 사업을 우선 정상화하기로 합의한 바 있다. 그런 그가 전제조건 과 대가 없는 두 사업의 재개를 거론하고 나선 것으로 이 발언이 구체적으로 무엇을 의미하는지는 확실치 않다. 다만 일각에서는 개성공단과 금강산관광 재개를 가로막고 있는 국제 제재를 사실상 겨냥한 것 아니냐는 분석이 나온다. 김 위원장은 개성공단과 금강산관광 재개 용의를 언급하면서 외부의 온갖 제재와 압박도 그 어떤 도전과 시련도 민족번영의 활로를 열어 나가려는 우리의 앞길을 가로막을 수 없을 것 이라고 말했다. 북한의 비핵화가 진전되지 않아 현재의 유엔 안전보장이사회 안보리 제재와 미국 독자제재 등이 유지된다면 개성공단과 금강산관광 재개는 구조적으로 어렵다. 안보리가 지난 2017년 채택한 대북제재 결의 2375호는 북한의 섬유수출을 금지하고 북한과 합작을 전면 금지했다. 금강산관광이나 개성공단 모두 2375호 결의가 해제돼야 현실적으로 재개가 가능하다는 분석이 나온다. 개성공단과 금강산 관광 사업이 안보리 결의 상의 벌크캐시 대량현금 금지 조항에 위배되는지도 지속적으로 논란이 돼 왔다. 북측도 이런 상황을 알고 있지만 우리는 준비가 돼 있다 는 점을 강조하며 우회적으로 제재 완화를 촉구하는 것이란 분석이다. 금강산관광 스무돌…방북단 행사마치고 오늘 귀환 CG 연합뉴스TV 제공 국가정보원 산하 국가안보전략연구원은 이날 신년사 특징 분석 자료에서 북한은 모든 준비가 되어 있으니 남측이 유엔과 미국을 상대로 제재완화에 적극 나설 것을 요구하는 의미 라고 풀이했다. 북측이 앞서 금강산관광 개성공단 사업 중단에 반발해 취했던 몰수·동결 등의 조치를 이날 김 위원장의 언급에 따라 선제적으로 해제할 가능성에 주목하는 시각도 있다. 북측은 2008년 7월 남측 관광객인 고 故 박왕자씨 피격으로 금강산관광이 중단된 후 2010년부터 남측 자산에 대한 몰수·동결 현대아산 독점권 취소 재산권 법적 처분 및 남측 관계자 추방 등의 일방적인 조치를 취했다. 금강산국제관광특구법을 제정 남측 자산을 활용해 중국인 관광객을 상대로 영업을 하기도 했다. 2016년 개성공단 전면 중단 이후에도 개성공단 내 설비·물자·제품 등 남측의 모든 자산을 전면 동결하고 개성공단 지역을 군사통제구역으로 선포했다. 정부 당국자는 신변안전과 재산권 등의 부분들이 남북 간에도 해결 돼야 하고 여건도 마련돼야 하는 것 이라며 현 시점에서는 재개 조건을 마련하는데 주력할 필요가 있다 고 말했다. 조명균 통일부 장관은 이날 밤 KBS에 출연한 자리에서 금강산관광과 개성공단에 대한 질문을 받고 앞으로 북한과 협상 테이블에서 이런 문제를 논의하게 되면 여건 조성을 위한 측면도 함께 논의하고 현 단계에서 재개를 전제로 제재 범위 내에서 할 수 있는 어떤 일들이 있는지 같이 머리를 맞대고 모색해 나가면 어떨까 생각한다 고 말했다.,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=001&aid=0010556761,2019.01.02. 오전 8:02,"[13, 0, 0, 172, 2]",1612227645
